state_name,name,code,state_code,state,rent_per_month,total_units,pct_occupied,months_waiting,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3
Alabama,Autauga County,1001,1,AL,339,252,96,24,99,182,24,31,44
Alabama,Baldwin County,1003,1,AL,311,865,91,15,88,152,44,23,32
Alabama,Barbour County,1005,1,AL,281,925,88,9,100,143,24,37,39
Alabama,Bibb County,1007,1,AL,311,118,96,5,100,70,48,22,30
Alabama,Blount County,1009,1,AL,293,417,98,7,98,152,49,34,16
Alabama,Bullock County,1011,1,AL,288,466,81,5,100,112,16,37,47
Alabama,Butler County,1013,1,AL,303,507,90,7,94,162,29,40,31
Alabama,Calhoun County,1015,1,AL,259,2215,86,14,84,139,35,34,30
Alabama,Chambers County,1017,1,AL,267,604,93,6,91,93,28,26,45
Alabama,Cherokee County,1019,1,AL,286,212,95,4,100,114,43,41,16
Alabama,Chilton County,1021,1,AL,263,191,98,5,95,132,45,26,29
Alabama,Choctaw County,1023,1,AL,-4,2,-4,-4,-4,-4,-4,-4,-4
Alabama,Clarke County,1025,1,AL,165,101,84,-1,93,183,36,47,16
Alabama,Clay County,1027,1,AL,273,392,92,4,100,95,34,35,32
Alabama,Cleburne County,1029,1,AL,263,119,95,8,100,112,46,28,26
Alabama,Coffee County,1031,1,AL,279,816,89,7,95,137,27,38,35
Alabama,Colbert County,1033,1,AL,265,1226,94,12,93,154,37,34,29
Alabama,Conecuh County,1035,1,AL,238,315,91,3,100,115,24,28,48
Alabama,Coosa County,1037,1,AL,235,47,99,11,96,37,36,23,40
Alabama,Covington County,1039,1,AL,253,611,97,9,79,129,31,44,26
Alabama,Crenshaw County,1041,1,AL,261,389,92,14,100,111,24,37,39
Alabama,Cullman County,1043,1,AL,291,768,93,8,99,125,42,31,27
Alabama,Dale County,1045,1,AL,257,1158,87,24,87,141,25,33,43
Alabama,Dallas County,1047,1,AL,237,2025,82,8,95,149,25,39,36
Alabama,DeKalb County,1049,1,AL,263,976,97,4,95,146,31,40,29
Alabama,Elmore County,1051,1,AL,293,250,85,8,99,156,37,28,35
Alabama,Escambia County,1053,1,AL,259,410,90,11,94,146,39,31,30
Alabama,Etowah County,1055,1,AL,258,1979,96,4,83,106,26,44,30
Alabama,Fayette County,1057,1,AL,240,347,97,4,77,108,46,30,24
Alabama,Franklin County,1059,1,AL,247,748,96,3,79,112,52,30,18
Alabama,Geneva County,1061,1,AL,246,444,82,8,89,130,27,34,39
Alabama,Greene County,1063,1,AL,254,309,96,30,100,152,8,33,59
Alabama,Hale County,1065,1,AL,262,181,93,26,97,134,10,49,41
Alabama,Henry County,1067,1,AL,286,256,90,10,66,162,37,43,20
Alabama,Houston County,1069,1,AL,267,1707,95,311,88,141,29,30,41
Alabama,Jackson County,1071,1,AL,264,702,97,5,96,124,28,40,32
Alabama,Jefferson County,1073,1,AL,303,19167,90,22,88,193,27,34,38
Alabama,Lamar County,1075,1,AL,233,471,97,12,97,77,36,40,24
Alabama,Lauderdale County,1077,1,AL,260,1951,93,14,80,152,36,38,26
Alabama,Lawrence County,1079,1,AL,248,243,96,3,100,148,41,36,23
Alabama,Lee County,1081,1,AL,280,1958,90,23,91,180,24,36,41
Alabama,Limestone County,1083,1,AL,271,859,88,28,92,107,31,35,34
Alabama,Lowndes County,1085,1,AL,252,306,82,7,100,142,7,29,64
Alabama,Macon County,1087,1,AL,227,826,87,12,100,176,31,28,41
Alabama,Madison County,1089,1,AL,287,4554,90,18,83,123,33,32,35
Alabama,Marengo County,1091,1,AL,245,396,94,8,93,151,26,47,27
Alabama,Marion County,1093,1,AL,252,946,97,3,93,98,37,40,24
Alabama,Marshall County,1095,1,AL,279,2182,95,4,89,130,25,45,30
Alabama,"Missing, Alabama",01XXX,01,AL,26,170,51,6,10,170,44,26,30
Alabama,Mobile County,1097,1,AL,312,13131,86,36,94,156,27,31,42
Alabama,Monroe County,1099,1,AL,197,248,95,1,99,140,36,38,27
Alabama,Montgomery County,1101,1,AL,321,5124,98,25,86,169,29,26,45
Alabama,Morgan County,1103,1,AL,289,1994,84,23,73,114,40,30,30
Alabama,Perry County,1105,1,AL,256,324,91,4,91,168,22,33,45
Alabama,Pickens County,1107,1,AL,283,399,96,9,100,129,34,32,35
Alabama,Pike County,1109,1,AL,237,759,70,8,55,107,27,34,39
Alabama,Randolph County,1111,1,AL,260,208,95,7,75,155,46,33,22
Alabama,Russell County,1113,1,AL,294,1630,99,10,99,114,27,43,30
Alabama,Shelby County,1117,1,AL,333,531,96,13,100,111,26,37,37
